company,name,phone,alt-phone,email,address
Elmendorf,Airfield Mangement (AMOPS) FAX,(907) 552-9333,,,
Elmendorf,Command Post,(907) 552-3000,,,
Elmendorf,Operator,(907) 552-1110,,,
Elmendorf,Weather,(907) 552-4903,,,
Anchorage,ARTCC,(907) 269-1125,,,
Anchorage,ARTCC FAX,(907) 269-1343,,,
Anchorage,International Tower,(907) 271-6549,,,
Anchorage,Watch Supervisor,(907) 271-6549,,,
168th,Intel,8833,,,
168th,MOCC,8656,,,
168th,OPS,8855,,,
168th,Pro Sup Office,8912,,,
168th,Pro Super Cell,(907) 347-3507,,,
168th,STE,8815,,,
168th,Mission Planning,(907) 651-2435,,,
168th,CMSGT Ryan Allen (Emergency Only),(907) 347-8285,,,
168th,SMSGT Ebinger (Questions),(907) 385-9860,,,
18th Fighter Squadron,MOCC,1205,,,
18th Fighter Squadron,OPS,6164,2232,,
18th Fighter Squadron,Pro Super,(907) 388-1341,,,
18th Fighter Squadron,Scheduling,6234,,,
210th,OPS,3923,3920,,
210th,Superintendent (Cell),(8137) 635-1212,,,
353rd Red Flag/CTS,MOCC,4463,,,
353rd Red Flag/CTS,OPS,2232,,,
353rd Red Flag/CTS,Scheduling,3961,,,
353rd Red Flag/CTS,Transportation,4681,,,
DSN,Africa,311,,,
DSN,Alaska,317,,,
DSN,Canada,319,,,
DSN,CONUS/Puerto Rico,312,,,
DSN,Central/Middle East,318,,,
DSN,Europe,314,,,
DSN,Operator,(312) 231-1311,,,
DSN,Out Of Country,970-1149 (+ Requested Number),,,
DSN,Pacific,315,,,
DSN,Phone Long Distance PIN,(4) 451-2658,,,
356th Fighter Squadron,MOCC,1205,,,
356th Fighter Squadron,OPS,356,,,
356th Fighter Squadron,Pro Super,9858,,,
356th Fighter Squadron,Scheduling,7180,3516,,
355th Fighter Squadron,MOCC,1205,,,
355th Fighter Squadron,OPS,7625,,,
AMOPS Flight,OSA/CC,3116,,,
AMOPS Flight,Airfield Manager (AFM),3233,,,
AMOPS Flight,Deputy Airfield Manager (DAFM),4566,,,
AMOPS Flight,Wing Airfield Driving Program Manager (WADPM),7777,,,
AMOPS Flight,NCOIC of Airfield Management Operations (NAMO),4107,,,
AMOPS Flight,NCOIC of Airfield Management Training (NAMT),3622,,,
AMOPS Flight,Flight Planning Room,2136,4566,,
AMOPS Flight,AMOPS STE,3598,,,
AMOPS Flight,OSAT Chief Controller,7050,,,
AMOPS Flight,OSAT Assistant Chief Controller,4368,,,
AMOPS Flight,OSAT NATCT,1233,,,
Command Section,OSS/CC,2841,,,
Command Section,OSS/DO,2612,,,
Command Section,OSS/CSS,3831,,,
Command Section,OG/Shirt,3046,,,
Command Section,Superintendent,2575,,,
Command Section,Secretary Admin,2686,,,
Current Operations,Wing Scheduling,6234,,,
Current Operations,Scheduling NCOIC,6237,,,
Current Operations,Current OPS NCOIC,6234,,,
Intel,Intel,7652,,,
Intel,Intel/SIO,1892,,,
Intel,Intel/NCOIC,1142,,,
Miscellaneous,AMD STE,(315) 448-1341,,,
Miscellaneous,ARFF,2613,,,
Miscellaneous,CTS,1037,,,
Miscellaneous,Elmendorf SOF,(907) 552-3010,,,
Miscellaneous,Elmendorf 90th OPS,(907) 551-9000,,,
Miscellaneous,OT,6978,,,
Miscellaneous,TACC COMM,(618) 229-0328,,,
Miscellaneous,UCC,1189,,,
Miscellaneous,44th OPS,1037,,,
Miscellaneous,Mission Control For Fighter Movement,(312) 574-5967,,,
Miscellaneous,Dean Sprague,4353,,,
Miscellaneous,Alert Force CC (AFC),3111,6166,,
Miscellaneous,DO (Cell),(907) 385-2065,,,
Miscellaneous,Fairbanks Customs Standby,(907) 2716-313 EXT 0,,,
Miscellaneous,Eric Gadow (CTS),3888,,,
Miscellaneous,Hickam Airfield Management,315-449-0046,808-449-0046,,
